icpsr_project_id,repo_doi,openicpsr_url,paper_title,journal,year
232242,10.3886/E232242V1,https://www.openicpsr.org/openicpsr/project/232242/version/V1/view,Information Frictions and Employee Sorting between Start-ups,American Economic Journal Applied Economics,2026
228863,10.3886/E228863V1,https://www.openicpsr.org/openicpsr/project/228863/version/V1/view,Invisible Wounds: How Mental Disability Benefits Shape Veteran Well-Being,American Economic Journal Economic Policy,2026
224363,10.3886/E224363V1,https://www.openicpsr.org/openicpsr/project/224363/version/V1/view,Nonbinary and Transgender Identities and Earnings: Evidence from a National Census,American Economic Review Insights,2026
208765,10.3886/E208765V1,https://www.openicpsr.org/openicpsr/project/208765/version/V1/view,Black Lives: The High Cost of Segregation,American Economic Journal Economic Policy,2026
230042,10.3886/E230042V1,https://www.openicpsr.org/openicpsr/project/230042/version/V1/view,Anatomy of the Greek Depression with Firm-Level Data: The Importance of Demand Shocks,American Economic Journal Macroeconomics,2025
228382,10.3886/E228382V1,https://www.openicpsr.org/openicpsr/project/228382/version/V1/view,Just a Few Seeds More: The Value of Network Data for Diffusion,American Economic Review,2025
224141,10.3886/E224141V1,https://www.openicpsr.org/openicpsr/project/224141/version/V1/view,From Retributive to Restorative: An Alternative Approach to Justice in Schools,American Economic Review,2025
217061,10.3886/E217061V1,https://www.openicpsr.org/openicpsr/project/217061/version/V1/view,"Incentive Complexity, Bounded Rationality, and Effort Provision",American Economic Review,2025
216882,10.3886/e216882v1-192833,https://www.openicpsr.org/openicpsr/project/216882/version/V1/view,"The Franchise, Policing, and Race: Evidence from Arrests Data and the Voting Rights Act",American Economic Journal Applied Economics,2025
213301,10.3886/E213301V1,https://www.openicpsr.org/openicpsr/project/213301/version/V1/view,"The Geographic Flow of Bank Funding and Access to Credit: Branch Networks, Synergies, and Local Competition",American Economic Review,2025
210101,10.3886/E210101V1,https://www.openicpsr.org/openicpsr/project/210101/version/V1/view,Uncertainty and the Economy: The Evolving Distributions of Aggregate Supply and Demand Shocks,American Economic Journal Macroeconomics,2025
208222,10.3886/E208222V1,https://www.openicpsr.org/openicpsr/project/208222/version/V1/view,Sequential Sampling by Individuals and Groups: An Experimental Study,American Economic Review Insights,2025
205961,10.3886/E205961V1,https://www.openicpsr.org/openicpsr/project/205961/version/V1/view,Learning When to Quit: An Empirical Model of Experimentation in Standards Development,American Economic Journal Microeconomics,2025
205542,10.3886/E205542V1,https://www.openicpsr.org/openicpsr/project/205542/version/V1/view,Physician Group Influences on Treatment Intensity and Health: Evidence from Physician Switchers,American Economic Journal Economic Policy,2025
202801,10.3886/e202801v1,https://www.openicpsr.org/openicpsr/project/202801/version/V1/view,Does Turnover Inhibit Specialization? Evidence from a Skill Survey in Peru,American Economic Review Insights,2025
202403,10.3886/E202403V1,https://www.openicpsr.org/openicpsr/project/202403/version/V1/view,Optimal Fiscal and Monetary Policy with Distorting Taxes,American Economic Journal Macroeconomics,2025
199665,10.3886/E199665V1,https://www.openicpsr.org/openicpsr/project/199665/version/V1/view,Communicating Program Eligibility: A Supplemental Security Income (SSI) Field Experiment,American Economic Journal Economic Policy,2025
198726,10.3886/E198726V1,https://www.openicpsr.org/openicpsr/project/198726/version/V1/view,Salary History and Employer Demand: Evidence from a Two-Sided Audit,American Economic Journal Applied Economics,2025
198567,10.3886/E198567V1,https://www.openicpsr.org/openicpsr/project/198567/version/V1/view,Church Tax Exemption and Structure of Religious Markets: A Dynamic Structural Analysis,American Economic Journal Microeconomics,2025
198086,10.3886/E198086V1,https://www.openicpsr.org/openicpsr/project/198086/version/V1/view,"Preferences, Selection, and the Structure of Teacher Pay",American Economic Journal Applied Economics,2025
